fips,Total
,
Alabama - Autauga,7
,
Alabama - Baldwin,11
,
Alabama - Barbour,5
,
Alabama - Bibb,8
,
Alabama - Blount,3
,
Alabama - Butler,8
,
Alabama - Calhoun,12
,
Alabama - Chambers,1
,
Alabama - Cherokee,7
,
Alabama - Chilton,13
,
Alabama - Clarke,6
,
Alabama - Clay,1
,
Alabama - Cleburne,6
,
Alabama - Coffee,4
,
Alabama - Colbert,6
,
Alabama - Conecuh,9
,
Alabama - Coosa,4
,
Alabama - Covington,2
,
Alabama - Cullman,14
,
Alabama - Dale,6
,
Alabama - Dallas,3
,
Alabama - DeKalb,6
,
Alabama - Elmore,2
,
Alabama - Escambia,3
,
Alabama - Etowah,14
,
Alabama - Fayette,3
,
Alabama - Franklin,3
,
Alabama - Geneva,1
,
Alabama - Greene,7
,
Alabama - Hale,2
,
Alabama - Henry,2
,
Alabama - Houston,8
,
Alabama - Jackson,8
,
Alabama - Jefferson,39
,
Alabama - Lauderdale,4
,
Alabama - Lawrence,8
,
Alabama - Lee,5
,
Alabama - Limestone,9
,
Alabama - Lowndes,3
,
Alabama - Macon,7
,
Alabama - Madison,18
,
Alabama - Marengo,8
,
Alabama - Marion,5
,
Alabama - Marshall,8
,
Alabama - Mobile,37
,
Alabama - Monroe,3
,
Alabama - Montgomery,21
,
Alabama - Morgan,5
,
Alabama - Perry,3
,
Alabama - Pickens,5
,
Alabama - Pike,6
,
Alabama - Randolph,2
,
Alabama - Russell,8
,
Alabama - St. Clair,14
,
Alabama - Shelby,13
,
Alabama - Sumter,4
,
Alabama - Talladega,15
,
Alabama - Tallapoosa,5
,
Alabama - Tuscaloosa,21
,
Alabama - Walker,14
,
Alabama - Washington,2
,
Alabama - Wilcox,3
,
Alabama - Winston,3
,
Alaska - Anchorage,3
,
Alaska - Denali,3
,
Alaska - Fairbanks North Star,1
,
Alaska - Juneau,1
,
Alaska - Kenai Peninsula,5
,
Alaska - Matanuska-Susitna,9
,
Alaska - North Slope,1
,
Alaska - Southeast Fairbanks,1
,
Alaska - Unknown County,1
,
Arizona - Apache,10
,
Arizona - Cochise,12
,
Arizona - Coconino,26
,
Arizona - Gila,9
,
Arizona - Graham,2
,
Arizona - La Paz,20
,
Arizona - Maricopa,142
,
Arizona - Mohave,18
,
Arizona - Navajo,16
,
Arizona - Pima,39
,
Arizona - Pinal,36
,
Arizona - Santa Cruz,5
,
Arizona - Yavapai,26
,
Arizona - Yuma,9
,
Arkansas - Arkansas,1
,
Arkansas - Ashley,4
,
Arkansas - Baxter,1
,
Arkansas - Benton,11
,
Arkansas - Boone,3
,
Arkansas - Bradley,1
,
Arkansas - Carroll,3
,
Arkansas - Chicot,6
,
Arkansas - Clark,6
,
Arkansas - Clay,7
,
Arkansas - Cleburne,1
,
Arkansas - Cleveland,1
,
Arkansas - Columbia,4
,
Arkansas - Conway,8
,
Arkansas - Craighead,13
,
Arkansas - Crawford,6
,
Arkansas - Crittenden,17
,
