Fips,Accidents
01001,7.0
01003,11.0
01005,5.0
01007,8.0
01009,3.0
01011,
01013,8.0
01015,12.0
01017,1.0
01019,7.0
01021,13.0
01023,
01025,6.0
01027,1.0
01029,6.0
01031,4.0
01033,6.0
01035,9.0
01037,4.0
01039,2.0
01041,
01043,14.0
01045,6.0
01047,3.0
01049,6.0
01051,2.0
01053,3.0
01055,14.0
01057,3.0
01059,3.0
01061,1.0
01063,7.0
01065,2.0
01067,2.0
01069,8.0
01071,8.0
01073,39.0
01075,
01077,4.0
01079,8.0
01081,5.0
01083,9.0
01085,3.0
01087,7.0
01089,18.0
01091,8.0
01093,5.0
01095,8.0
01097,37.0
01099,3.0
01101,21.0
01103,5.0
01105,3.0
01107,5.0
01109,6.0
01111,2.0
01113,8.0
01115,14.0
01117,13.0
01119,4.0
01121,15.0
01123,5.0
01125,21.0
01127,14.0
01129,2.0
01131,3.0
01133,3.0
02013,
02016,
02020,3.0
02050,
02060,
02068,3.0
02070,
02090,1.0
02100,
,
02110,1.0
02122,5.0
02130,
02150,
,
02164,
02170,9.0
02180,
02185,1.0
02188,
,
02201,
02220,
02232,
02240,1.0
02261,
02280,
02282,
02290,
04001,10.0
04003,12.0
04005,26.0
04007,9.0
04009,2.0
04011,
04012,20.0
04013,142.0
04015,18.0
04017,16.0
04019,39.0
04021,36.0
04023,5.0
04025,26.0
04027,9.0
05001,1.0
05003,4.0
05005,1.0
05007,11.0
05009,3.0
05011,1.0
05013,
05015,3.0
05017,6.0
05019,6.0
05021,7.0
05023,1.0
05025,1.0
05027,4.0
05029,8.0
05031,13.0
05033,6.0
05035,17.0
05037,3.0
05039,
05041,3.0
05043,4.0
05045,7.0
05047,5.0
05049,3.0
05051,5.0
05053,6.0
05055,9.0
05057,9.0
05059,11.0
05061,3.0
05063,2.0
05065,
05067,3.0
05069,3.0
05071,3.0
05073,1.0
05075,7.0
05077,
05079,1.0
05081,3.0
05083,2.0
05085,10.0
05087,1.0
05089,1.0
05091,13.0
05093,7.0
05095,5.0
05097,3.0
05099,2.0
05101,1.0
05103,3.0
05105,1.0
05107,4.0
05109,2.0
05111,3.0
05113,6.0
05115,6.0
05117,5.0
05119,25.0
05121,5.0
05123,13.0
05125,3.0
05127,1.0
05129,2.0
05131,4.0
05133,4.0
05135,3.0
05137,
05139,10.0
05141,6.0
05143,4.0
05145,4.0
05147,2.0
05149,5.0
06001,33.0
06003,3.0
06005,5.0
06007,9.0
06009,9.0
06011,6.0
06013,25.0
06015,3.0
06017,4.0
06019,67.0
06021,5.0
06023,11.0
06025,26.0
06027,2.0
06029,110.0
06031,24.0
06033,5.0
06035,6.0
06037,240.0
06039,14.0
06041,7.0
06043,2.0
06045,11.0
06047,41.0
06049,1.0
06051,2.0
06053,20.0
06055,8.0
06057,3.0
06059,55.0
06061,10.0
06063,3.0
06065,109.0
06067,55.0
06069,4.0
06071,161.0
06073,59.0
06075,11.0
06077,60.0
06079,16.0
06081,11.0
06083,14.0
06085,37.0
06087,6.0
06089,16.0
06091,
06093,9.0
06095,15.0
06097,20.0
06099,34.0
06101,14.0
06103,12.0
06105,1.0
06107,43.0
06109,2.0
06111,22.0
06113,19.0
06115,4.0
08001,27.0
08003,4.0
08005,15.0
08007,3.0
08009,4.0
08011,1.0
08013,14.0
,1.0
08015,2.0
08017,1.0
08019,1.0
08021,1.0
08023,5.0
08025,1.0
08027,2.0
08029,3.0
08031,18.0
08033,
08035,7.0
08037,2.0
08039,2.0
08041,22.0
08043,7.0
08045,3.0
08047,
08049,4.0
08051,4.0
08053,
08055,2.0
08057,
08059,11.0
08061,2.0
08063,5.0
08065,
08067,4.0
08069,28.0
08071,1.0
08073,3.0
08075,4.0
08077,4.0
08079,4.0
08081,3.0
08083,3.0
08085,1.0
08087,7.0
08089,1.0
08091,1.0
08093,6.0
08095,1.0
08097,
08099,4.0
08101,13.0
08103,2.0
08105,4.0
08107,3.0
08109,2.0
08111,1.0
08113,
08115,1.0
08117,5.0
08119,1.0
08121,4.0
08123,69.0
08125,4.0
09001,23.0
09003,24.0
09005,8.0
09007,5.0
09009,35.0
09011,13.0
09013,10.0
09015,10.0
10001,9
10003,24
10005,25
11001,9
12001,29
12003,3
12005,10
12007,8
12009,25
12011,67
12013,4
12015,14
12017,8
12019,10
12021,20
12023,17
12027,10
12029,1
12031,56
12033,12
12035,8
12037,
12039,6
12041,3
12043,7
12045,1
12047,4
12049,8
12051,7
12053,9
12055,10
12057,71
12059,2
12061,19
12063,17
12065,2
12067,2
12069,27
12071,42
12073,13
12075,7
12077,1
12079,6
12081,25
12083,38
12085,11
12086,74
12087,10
12089,17
12091,13
12093,9
12095,72
12097,31
12099,56
12101,29
12103,20
12105,80
12107,12
12109,19
12111,13
12113,8
12115,28
12117,12
12119,15
12121,12
12123,4
12125,2
12127,36
12129,5
12131,6
12133,4
13001,5
13003,3
13005,4
13007,
13009,6
13011,9
13013,13
13015,14
13017,4
13019,2
13021,22
13023,2
13025,1
13027,4
13029,7
13031,11
13033,5
13035,4
13037,1
13039,3
13043,2
13045,17
13047,2
13049,3
13051,18
13053,5
13055,2
13057,6
13059,3
13061,1
13063,13
13065,3
13067,28
13069,3
13071,10
13073,8
13075,2
13077,12
13079,1
13081,4
13083,6
13085,4
13087,6
13089,34
13091,2
13093,8
13095,6
13097,12
13099,1
13101,1
13103,8
13105,3
13107,4
13109,1
13111,1
13113,6
13115,11
13117,7
13119,6
13121,51
13123,3
13125,
13127,15
13129,6
13131,2
13133,5
13135,26
13137,
13139,14
13141,3
13143,1
13145,5
13147,1
13149,2
13151,21
13153,9
13155,2
13157,16
13159,1
13161,4
13163,3
13165,
13167,
13169,7
13171,
13173,
13175,9
13177,
13179,3
13181,1
13183,1
13185,20
13187,
13189,10
13191,4
13193,3
13195,3
13197,
13199,4
13201,2
13205,4
13207,5
13209,1
13211,5
13213,5
13215,11
13217,8
13219,8
13221,1
13223,6
13225,5
13227,5
13229,2
13231,5
13233,5
13235,1
13237,3
13239,
13241,1
13243,1
13245,12
13247,3
13249,1
13251,5
13253,2
13255,7
13257,1
13259,1
13261,6
13263,1
13265,2
13267,2
13269,3
13271,2
13273,1
13275,3
13277,3
13279,1
13281,1
13283,3
13285,11
13287,4
13289,3
13291,2
13293,
13295,1
13297,4
13299,7
13301,5
13303,2
13305,6
13307,
13309,3
13311,2
13313,10
13315,
13317,
13319,2
13321,11
15001,14
,7
15003,
15007,2
15009,4
16001,11
16003,2
16005,3
16007,1
16009,2
16011,6
16013,1
16015,1
16017,10
16019,
16021,
16023,
16025,
16027,17
16029,1
16031,6
16033,
16035,2
16037,2
16039,5
16041,1
16043,5
16045,1
16047,6
16049,6
16051,3
16053,11
16055,8
16057,4
16059,1
16061,1
16063,5
16065,4
16067,9
16069,4
16071,1
16073,
16075,1
16077,5
16079,6
16081,1
16083,13
16085,1
16087,1
17001,3
17003,
17005,2
17007,2
17009,1
17011,7
17013,
17015,1
17017,2
17019,12
17021,4
17023,5
17025,1
17027,3
17029,7
17031,104
17033,
17035,4
17037,2
17039,2
17041,2
17043,15
17045,4
17047,3
17049,11
17051,9
17053,2
17055,3
17057,1
17059,1
17061,2
17063,7
17065,
17067,
17069,1
17071,2
17073,9
17075,8
17077,1
17079,
17081,9
17083,1
17085,7
17087,2
17089,16
17091,18
17093,6
17095,6
17097,22
17099,20
17101,
17103,3
17105,9
17107,6
17109,
17111,10
17113,16
17115,10
17117,2
17119,21
17121,4
17123,
17125,
17127,2
17129,
17131,
17133,2
17135,3
17137,1
17139,1
17141,7
17143,6
17145,2
17147,2
17149,1
17151,
17153,2
17155,1
17157,3
17159,3
17161,6
17163,18
17165,3
17167,10
17169,
17171,
17173,1
17175,2
17177,2
17179,4
17181,5
17183,6
17185,
17187,3
17189,5
17191,2
17193,2
17195,1
17197,44
17199,12
17201,12
17203,2
18001,5
18003,18
18005,11
18007,2
18009,1
18011,12
18013,1
18015,3
18017,6
18019,7
18021,3
18023,4
18025,2
18027,5
18029,9
18031,5
18033,6
18035,4
18037,1
18039,24
18041,3
18043,5
18045,3
18047,1
18049,3
18051,9
18053,5
18055,3
18057,8
18059,7
18061,4
18063,7
18065,5
18067,13
18069,5
18071,10
18073,5
18075,5
18077,2
18079,6
18081,8
18083,3
18085,13
18087,8
18089,34
18091,25
18093,5
18095,9
18097,40
18099,12
18101,1
18103,9
18105,4
18107,5
18109,6
18111,7
18113,4
18115,
18117,2
18119,1
18121,2
18123,
18125,1
18127,12
18129,5
18131,2
18133,8
18135,6
18137,3
18139,3
18141,16
18143,1
18145,8
18147,5
18149,2
18151,10
18153,4
18155,2
18157,10
18159,3
18161,
18163,8
18165,4
18167,10
18169,3
18171,2
18173,5
18175,3
